layer,num_prompts,mean_pre_normalized_w1,mean_post_normalized_w1,post_pre_ratio,prompts_pre_less_than_post
0,1,0.22847257554531097,3.88287353515625,16.994921713858798,1
1,1,0.9699863791465759,4.832595348358154,4.982127019773228,1
2,1,0.30358466506004333,1.9177039861679077,6.31686711115208,1
3,1,1.2274795770645142,7.657568454742432,6.238448767559383,1
4,1,0.49783340096473694,4.12320613861084,8.282301128491174,1
5,1,1.2539652585983276,4.2031965255737305,3.3519242233808217,1
6,1,1.3842852115631104,1.7793424129486084,1.2853871428268793,1
7,1,0.6837029457092285,4.956812858581543,7.249951005315139,1
8,1,0.34849023818969727,3.2084243297576904,9.206640468394458,1
9,1,0.21032674610614777,1.2907819747924805,6.137032016560786,1
10,1,0.26847800612449646,0.6216212511062622,2.315352605896548,1
11,1,0.41488897800445557,2.0005037784576416,4.821780969163654,1
12,1,0.3077579736709595,1.501598596572876,4.879154156955542,1
13,1,0.5217321515083313,1.5031640529632568,2.881102973273928,1
14,1,0.26470962166786194,2.8239688873291016,10.66817620582152,1
15,1,0.35079920291900635,1.954732060432434,5.572224920031386,1
16,1,0.4642055928707123,0.7732596397399902,1.6657697615361429,1
17,1,0.45741626620292664,1.2221708297729492,2.671900673577597,1
18,1,0.5564187169075012,1.8064570426940918,3.24657849889402,1
19,1,0.5851298570632935,1.0929864645004272,1.8679382897772707,1
20,1,0.2879229485988617,1.0917613506317139,3.7918524936779914,1
21,1,0.389275461435318,9.455317497253418,24.289528711597235,1
22,1,0.1928543597459793,0.94573575258255,4.903885781105693,1
23,1,0.5707482695579529,2.6943702697753906,4.720768180098369,1
24,1,0.2892024517059326,2.1047961711883545,7.277933360428622,1
25,1,0.5644384026527405,2.981074810028076,5.281488282897936,1
26,1,0.5922558903694153,3.5578835010528564,6.007341689474211,1
27,1,0.5456589460372925,2.656784772872925,4.8689475214639835,1
28,1,1.4481847286224365,7.186872959136963,4.962676941064946,1
29,1,0.6646042466163635,6.671419143676758,10.038183140782383,1
